test_id,smiles,nlogP
0,CC(C)ON(CC(O)=NO)S(=O)(=O)c1ccc(-c2ccccc2)cc1,-0.14237584173679352
0,CC(C)N(Cc1ccccc1OCCCCCC(=O)O)C(=O)c1ccc(-c2ccoc2)cc1,-0.15115714073181152
0,CC(C)N(Cc1ccccc1OCCCCCC(=O)O)C(=O)c1ccc(-c2ccsc2)cc1,-0.15284797549247742
0,CC(C)N(Cc1ccccc1OCCCCCC(=O)O)C(=O)c1ccc(-c2ccccc2)cc1,-0.15843531489372253
0,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2cc3ccc(Cl)cc3s2)C1=O,-0.15854719281196594
0,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2cc3cc(Cl)ccc3s2)C1=O,-0.1722603142261505
0,CC(C)N(Cc1ccccc1OCCCCCC(=O)O)C(=O)c1ccc(-c2ccco2)cc1,-0.17279356718063354
0,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)/C=C/c2ccc(Cl)s2)C1=O,-0.17442739009857178
0,Cc1cc(OCC(=O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,-0.17657431960105896
0,O=S(=O)(c1ccc(-c2ccccc2)cc1)N(CCO)CC(O)=NO,-0.18208789825439453
0,COC(=O)c1c(O)cccc1OC/C=C/c1cccc(-c2onc(C(=O)O)c2CO)c1,-0.18850812315940857
0,CC(C)(C)OC(O)=N[C@H](C(O)=NO)c1ccc(-n2cccn2)cc1,-0.19454346597194672
0,C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1ccc(S(N)(=O)=O)cc1,-0.20103783905506134
0,CC(C)N(Cc1ccccc1OCCCCCCC(=O)O)C(=O)c1ccc(-c2ccoc2)cc1,-0.20250646770000458
0,COC(=O)Cc1ccc2c(c1)N=C(O)c1ccc(-c3cncn3C)cc1N2,-0.20810392498970032
0,CC(C)(C)OC(O)=N[C@H](C(O)=NO)c1ccc(-c2ccccc2)cc1,-0.21840184926986694
0,COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1OC,-0.22477024793624878
0,Cc1ccc(C(=O)O)c(Nc2c(C)cccc2C(=O)O)c1,-0.22687184810638428
0,COc1ccc(C(=O)CC(=O)C(F)(F)F)cc1,-0.24567864835262299
0,CN(C)c1ccc(C(=O)O)cn1,-0.30933108925819397
