test_id,smiles,nlogP
0,CC(C)ON(CC(O)=NO)S(=O)(=O)c1ccc(-c2ccccc2)cc1,-0.14954575896263123
0,CC(C)N(Cc1ccccc1OCCCCCC(=O)O)C(=O)c1ccc(-c2ccccc2)cc1,-0.16346371173858643
0,O=S(=O)(c1ccc(-c2ccccc2)cc1)N(CCO)CC(O)=NO,-0.164900541305542
0,CC(C)N(Cc1ccccc1OCCCCCC(=O)O)C(=O)c1ccc(-c2ccoc2)cc1,-0.17927706241607666
0,Cc1cc(OCC(=O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,-0.1793862283229828
0,CC(=O)c1ccc(C)cc1N[C@H](C(=N)O)c1c(Cl)cccc1Cl,-0.17970915138721466
0,CC(C)N(Cc1ccccc1OCCCCCC(=O)O)C(=O)c1ccc(-c2ccsc2)cc1,-0.1827826052904129
0,CC(C)N(Cc1ccccc1OCCCCCC(=O)O)C(=O)c1ccc(-c2ccco2)cc1,-0.1891610473394394
0,C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1ccc(S(N)(=O)=O)cc1,-0.19233311712741852
0,CCCSCc1cc(N)cc2c(O)nc(=N)[nH]c12,-0.1982855200767517
0,COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1OC,-0.19984115660190582
0,CC(C)[C@H](NS(=O)(=O)c1ccccc1)P(=O)(O)C[C@@H](Cc1ccccc1)C(=O)O,-0.20240023732185364
0,CC(C)[C@H](NS(=O)(=O)c1ccccc1)P(=O)(O)C[C@H](C(=O)O)c1ccccc1,-0.20467346906661987
0,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,-0.23321612179279327
0,COc1ccc(C(=O)CC(=O)C(F)(F)F)cc1,-0.2335217446088791
0,CC(C)ON(CC(O)=NO)S(=O)(=O)c1ccc2ccccc2c1,-0.23849733173847198
0,C[C@H](N=C(O)CCC(=O)c1cccs1)c1cccnc1,-0.24042601883411407
0,C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1ccccc1,-0.2518962025642395
0,COC(=O)c1c(O)cc(O)c(Cl)c1CCC(O)=Nc1ccccc1,-0.25659164786338806
0,CN(C)c1ccc(C(=O)O)cn1,-0.29572972655296326
